ID,NLD_ID,SO_SO_BHXH,THANG_BD,THANG_KT,TT_TG_BHXH,DT_TG_BHXH,NAM_TG_BHXH,THANG_TG_BHXH,NAM_TG_BHXH_BB,THANG_TG_BHXH_BB,TT_TG_BHTN,DT_TG_BHTN,NAM_TG_BHTN,THANG_TG_BHTN,TT_TG_BHYT,DT_TG_BHYT,NAM_TG_BHYT,THANG_TG_BHYT,NAM_NO_BHXH,THANG_NO_BHXH,NAM_NO_BHTN,THANG_NO_BHTN,TT_TG_BH,DT_TG_BH,TU_THANG_DVI,DEN_THANG_DVI,DEN_THANG_HTTT,DEN_THANG_BHTN,THANG_BD_LT,THANG_KT_LT,SO_THANG_LT,IS_ERRORS,NGHI_VIEC,IS_CONTINUE,TRUY_DONG,DEN_NGAY,MA_CD,MA_NHH,DD_MA_DON_VI,DD_THANG_DONG_DEN_XH,DD_TY_LE_NO_BHXH,DD_THANG_DONG_DEN_YT,DD_TY_LE_NO_BHYT,DD_THANG_DONG_DEN_TN,DD_TY_LE_NO_BHTN,DD_THANG_DONG_DEN_TNLD,DD_TY_LE_NO_TNLD,RAW_RESPONSE,CREATED_AT,source_file,load_time,layer,IS_DELETED,DELETED_AT
6,1000006,7000000006,197802,197907,1 năm 6 tháng,18,1,6,1,6,,,,,,,,,,,,,1 năm 6 tháng,18,197802,197907,,,197802,197907,18,0,1,0,0,,BHXH,,DV000056,197907,0.0,,,,,,,,2026-01-01 08:00:06.000000,RAW_QTTG_BHXH.csv,2026-09-16 01:58:47.173882,BRONZE,0,
9,1000009,7000000009,199811,199912,1 năm 2 tháng,14,1,2,1,2,,,,,,,,,,,,,1 năm 2 tháng,14,199811,199912,,,199811,199912,14,0,1,0,0,,BHXH,,DV000077,199912,0.0,,,,,,,,2026-01-01 08:00:09.000000,RAW_QTTG_BHXH.csv,2026-09-16 01:58:47.173882,BRONZE,0,
10,1000010,7000000010,198408,198509,1 năm 2 tháng,14,1,2,1,2,,,,,,,,,,,,,1 năm 2 tháng,14,198408,198509,,,198408,198509,14,0,1,0,0,,BHXH,,DV000084,198509,0.0,,,,,,,,2026-01-01 08:00:10.000000,RAW_QTTG_BHXH.csv,2026-09-16 01:58:47.173882,BRONZE,0,
12,1000012,7000000012,202001,202601,0 năm 4 tháng,4,0,4,0,4,,,,,,,,,,,,,0 năm 4 tháng,4,202008,202011,,,202008,202011,4,0,1,0,0,,BHXH,,DV000085,202011,0.0,,,,,,,,2026-01-01 08:00:12.000000,RAW_QTTG_BHXH.csv,2026-09-16 01:58:47.173882,BRONZE,0,
13,1000013,7000000013,201907,202003,0 năm 9 tháng,9,0,9,0,9,,,,,,,,,,,,,0 năm 9 tháng,9,201907,202003,,,201907,202003,9,0,1,0,0,,BHXH,,DV000105,202003,0.0,,,,,,,,2026-01-01 08:00:13.000000,RAW_QTTG_BHXH.csv,2026-09-16 01:58:47.173882,BRONZE,0,
15,1000015,7000000015,198701,198805,1 năm 5 tháng,17,1,5,1,5,,,,,,,,,,,,,1 năm 5 tháng,17,198701,198805,,,198701,198805,17,0,1,0,0,,BHXH,,DV000132,198805,0.0,,,,,,,,2026-01-01 08:00:15.000000,RAW_QTTG_BHXH.csv,2026-09-16 01:58:47.173882,BRONZE,0,
16,1000016,7000000016,198305,198312,0 năm 8 tháng,8,0,8,0,8,,,,,,,,,,,,,0 năm 8 tháng,8,198305,198312,,,198305,198312,8,0,1,0,0,,BHXH,,DV000126,198312,0.0,,,,,,,,2026-01-01 08:00:16.000000,RAW_QTTG_BHXH.csv,2026-09-16 01:58:47.173882,BRONZE,0,
17,1000017,7000000017,,,1 năm 8 tháng,20,1,8,1,8,,,,,,,,,,,,,1 năm 8 tháng,20,201903,202010,,,201903,202010,20,0,1,0,0,,BHXH,,DV000146,202010,0.0,,,,,,,,2026-01-01 08:00:17.000000,RAW_QTTG_BHXH.csv,2026-09-16 01:58:47.173882,BRONZE,0,
20,1000020,7000000020,202001,202601,0 năm 10 tháng,10,0,10,0,10,,,,,,,,,,,,,0 năm 10 tháng,10,200006,200103,,,200006,200103,10,0,1,0,0,,BHXH,,DV000154,200103,0.0,,,,,,,,2026-01-01 08:00:20.000000,RAW_QTTG_BHXH.csv,2026-09-16 01:58:47.173882,BRONZE,0,
22,1000022,7000000022,199912,200106,1 năm 7 tháng,19,1,7,1,7,,,,,,,,,,,,,1 năm 7 tháng,19,199912,200106,,,199912,200106,19,0,1,0,0,,BHXH,,DV000168,200106,0.0,,,,,,,,2026-01-01 08:00:22.000000,RAW_QTTG_BHXH.csv,2026-09-16 01:58:47.173882,BRONZE,0,
